id,chapter,page,word,mean
349,1,2,damage,손해
350,1,2,harm,손해
351,1,2,boss,우두머리
352,1,2,head,"머리, 선두에 서다"
353,1,2,secret,비밀의
354,1,2,hidden,숨겨진
355,1,2,man,"남자, 사람"
356,1,2,human,인간
357,1,2,wit,"위트, 재치"
358,1,2,humor,유머
359,1,2,contain,포함하다
360,1,2,include,포함하다
361,1,2,earning,소득
362,1,2,income,수입
363,1,2,growth,"성장, 발전"
364,1,2,increase,증가
365,1,2,casual,격식을 차리지 않는
366,1,2,informal,격식 차리지 않는
367,1,2,first,첫째의
368,1,2,initial,"처음의, 머리글자"
369,1,2,born,"태어난, 타고난"
370,1,2,innate,타고난
371,1,2,travel,여행
372,1,2,journey,여정
373,1,2,work,일
374,1,2,labor,노동
375,1,2,free,자유로운
376,1,2,liberate,자유롭게 하다
377,1,2,hold,유지하다
378,1,2,maintain,유지하다
379,1,2,lord,주인
380,1,2,master,주인
381,1,3,partner,동료
382,1,3,mate,동료
383,1,3,change,바꾸다
384,1,3,modify,변경하다
385,1,3,country,"나라, 시골"
386,1,3,nation,"국가, 국민"
387,1,3,almost,거의
388,1,3,nearly,거의
389,1,3,many,많은
390,1,3,numerous,매우 많은
391,1,3,watch,경계
392,1,3,observe,관찰하다
393,1,3,receive,받다
394,1,3,obtain,획득하다
395,1,3,chance,기회
396,1,3,opportunity,기회
397,1,3,arise,결과로서 생기다
398,1,3,originate,~에서 비롯되다
399,1,3,couple,한 쌍
400,1,3,pair,한 쌍
401,1,3,special,특별한
402,1,3,particular,특유의
403,1,3,maybe,"아마, 어쩌면"
404,1,3,perhaps,"아마, 어쩌면"
405,1,3,joy,기쁨
406,1,3,pleasure,즐거움
407,1,3,enough,충분한
408,1,3,plenty,"많음, 충분"
409,1,3,like,좋아하다
410,1,3,prefer,더 좋아하다
411,1,3,ready,준비가 된
412,1,3,prepare,준비하다
413,1,3,chief,"최고의, 주요한"
414,1,3,primary,주요한
415,1,3,go,가다
416,1,3,proceed,나아가다
417,1,3,make,만들다
418,1,3,produce,생산하다
419,1,3,complain,불평을 말하다
420,1,3,protest,항의
421,1,3,buy,구입
422,1,3,purchase,구매
423,1,3,clean,깨끗한
424,1,3,pure,순수한
425,1,3,back,뒤
426,1,3,rear,뒤
427,1,3,acknowledge,인정하다
428,1,3,recognize,인정하다
429,1,3,area,지역
430,1,3,region,"지방, 지역"
431,1,3,stay,머무르다
432,1,3,remain,남다
433,1,3,request,"부탁, 요구하다"
434,1,3,save,구하다
435,1,3,rescue,"구출, 구조"
436,1,3,keep,보유하다
437,1,3,reserve,남겨 두다
438,1,3,restart,재개시키다
439,1,3,resume,다시 시작하다
440,1,3,frighten,두려워하다
441,1,3,scare,겁주다
442,1,3,safe,안전한
443,1,3,secure,안전한
444,1,3,fix,고정시키다
445,1,3,set,고정하다
446,1,3,ill,병든
447,1,3,sick,병든
448,1,3,vision,"시력, 시각"
449,1,3,sight,시각
450,1,3,foolish,어리석은
451,1,3,silly,어리석은
452,1,3,unique,독특한
453,1,3,singular,유일한
454,1,3,kind,종류
455,1,3,sort,종류
456,1,3,excite,흥분시키다
457,1,3,stimulate,자극하다
458,1,3,subject,주제
459,1,3,theme,주제
460,1,3,win,이기다
461,1,3,succeed,성공하다
462,1,3,propose,제안하다
463,1,3,suggest,제안하다
464,1,3,fit,적합하다
465,1,3,suit,적합하다
466,1,3,environment,환경
467,1,3,surroundings,"환경, 주위의"
468,1,3,vow,맹세
469,1,3,swear,맹세하다
470,1,3,soft,부드러운
471,1,3,tender,부드러운
472,1,3,terminate,종결시키다
473,1,3,panic,"공황, 공포"
474,1,3,terror,공포
475,1,3,topic,"화제, 주제"
476,1,3,idea,"셍각, 개념"
477,1,3,thought,생각
478,1,3,small,작은
479,1,3,tiny,조그마한
480,1,3,disaster,"재난, 재해"
481,1,3,tragedy,"비극, 참사"
482,1,3,test,시험
483,1,3,trial,시험하기
484,1,3,victory,승리
485,1,3,triumph,승리
486,1,3,just,올바른
487,1,3,upright,똑바른
488,1,3,disappear,사라지다
489,1,3,vanish,사라지다
490,1,3,career,"경력, 직업"
491,1,3,vocation,직업
492,1,3,poll,투표하다
493,1,3,vote,투표
494,1,3,beware,조심하다
495,1,3,watch out,경계
496,1,3,rich,부유한
497,1,3,wealthy,부유한
498,1,3,arm,무기
499,1,3,weapon,무기
500,1,3,cry,울다
501,1,3,weep,눈물을 흘리다
502,1,3,hope,희망
503,1,3,wish,소원
504,1,3,author,저자
505,1,3,writer,작가
506,1,3,annual,해마다의
507,1,3,yearly,매년의
508,1,3,ability,능력
509,1,3,accumulate,축적하다
510,1,3,action,행동
511,1,3,aid,"돕다, 원조"
512,1,3,anguish,"고통, 괴롭히다"
513,1,3,animate,살아 있는
514,1,3,around,"주위에, 대략"
515,1,3,approximately,"대체로, 대략"
516,1,3,behave,행동하다
517,1,3,benefit,이익
518,1,3,cancel,삭제하다
519,1,3,cease,그만두다
520,1,3,unite,결합하다
521,1,3,combine,결합시키다
522,1,3,commence,시작하다
523,1,3,comment,"논평, 주석"
524,1,3,concentrate,집중하다
525,1,3,concern,걱정하다
526,1,3,danger,위험
527,1,3,decrease,감소
528,1,3,definite,명확한
529,1,3,degree,"정도, 단계"
530,1,3,demand,요구하다
531,1,3,demonstrate,증명하다
532,1,3,direct,"지도하다, 이끌다"
533,1,3,disclose,드러내다
534,1,3,discover,발견하다
535,1,3,divide,"나누다, 분할"
536,1,3,draw,끌다
537,1,3,competent,유능한
538,1,3,efficient,유능한
539,1,3,effort,노력
540,1,3,elect,선출된
541,1,3,endeavor,노력
542,1,4,engage,고용하다
543,1,4,compare,필적하다
544,1,4,equate,동일시하다
545,1,4,execute,이행하다
546,1,4,exhibit,전시하다
547,1,4,go through,경험하다
548,1,4,experience,경험
549,1,4,extreme,극도의
550,1,4,religion,"종교, 신앙심"
551,1,4,faith,"믿음, 신앙"
552,1,4,fault,결점
553,1,4,defect,결점
554,1,4,foundation,기초
555,1,4,gaze,응시하다
556,1,4,guest,손님
557,1,4,obstruct,"막다, 방해하다"
558,1,4,hinder,"방해하다, 막다"
559,1,4,impact,"영향, 충격"
560,1,4,indoor,실내의
561,1,4,inhabit,거주하다
562,1,4,intelligent,총명한
563,1,4,lift,들어 올리다
564,1,4,repair,수리하다
565,1,4,mend,고치다
566,1,4,national,"국가의, 국민의"
567,1,4,novel,새로운
568,1,4,nude,나체의
569,1,4,forgive,용서하다
570,1,4,pardon,용서
571,1,4,past,"과거의, 지나간"
572,1,4,plain,명백한
573,1,4,apparent,명백한
574,1,4,possess,소유하다
575,1,4,pray,"빌다, 기원하다"
576,1,4,precious,값비싼
577,1,4,presently,"이내, 곧"
578,1,4,assume,가정하다
579,1,4,presume,추정하다
580,1,4,private,사적인
581,1,4,project,계획
582,1,4,prompt,즉석의
583,1,4,provide,제공하다
584,1,4,rapid,빠른
585,1,4,mention,언급하다
586,1,4,refer,언급하다
587,1,4,remedy,치료
588,1,4,reply,응답하다
589,1,4,restrict,제한하다
590,1,4,ruin,파멸
591,1,4,salary,봉급
592,1,4,scorn,경멸
593,1,4,contempt,경멸
594,1,4,seek,찾다
595,1,4,similar,유사한
596,1,4,single,단 하나의
597,1,4,source,원천
598,1,4,yet,아직
599,1,4,still,아직도
600,1,4,sum,합계
601,1,4,summit,정상
602,1,4,tolerate,"참다, 견디다"
603,1,4,treat,다루다
604,1,4,ultimate,최후의
605,1,4,utter,말하다
606,1,4,way,"방법, 길"
607,1,4,weighty,무거운
608,1,4,sharp,날카로운
609,1,4,keen,날카로운
610,1,4,wake up,잠을 깨우는
611,1,4,awake,깨우다
612,1,4,hit,치다
613,1,4,strike,치다
614,1,4,achieve,성취하다
615,1,4,accomplish,성취하다
616,1,4,bar,장애물
617,1,4,barrier,장벽
618,1,4,brave,용감한
619,1,4,courageous,용기 있는
620,1,4,right,옳은
621,1,4,correct,올바른
622,1,4,plus,~을 더하여
623,1,4,addition,"부가, 덧셈"
624,1,4,factor,"요인, 요소"
625,1,4,element,"요소, 원소"
626,1,4,doing,행하기
627,1,4,behavior,행동
628,1,4,OK,"찬성, 승인"
629,1,4,approve,"찬성하다, 승인하다"
630,1,4,guard,지키다
631,1,4,protect,보호하다
632,1,4,delay,"지연, 연기하다"
633,1,4,postpone,연기하다
634,1,4,fate,운명
635,1,4,destiny,운명
636,1,4,awful,무서운
637,1,4,terrible,무서운
638,1,4,charm,매력
639,1,4,fascinate,매혹하다
640,1,4,completely,"완전히, 전적으로"
641,1,4,whole,"완전한, 전부의"
642,1,4,precise,정확한
643,1,4,accurate,정확한
644,1,4,excel,능가하다
645,1,4,surpass,능가하다
646,1,4,spend,소비하다
647,1,4,prosper,번영하다
648,1,4,thrive,번영하다
649,1,4,operate,작용하다
650,1,4,function,"기능, 작용하다"
651,1,4,offer,"제공하다, 제안"
652,1,4,actual,현실의
653,1,4,real,현실의
654,1,4,modest,겸손한
655,1,4,humble,겸손한
656,1,4,vast,광대한
657,1,4,huge,거대한
658,1,4,crazy,"열중한, 미친"
659,1,4,mad,"미친, 열광한"
660,1,4,guarantee,보증
661,1,4,ensure,"보증하다, 지키다"
662,1,4,inner,내부의
663,1,4,interior,안쪽의
664,1,4,young,"젊은, 어린"
665,1,4,youth,"젊음, 청년"
666,1,4,legal,합법적인
667,1,4,legitimate,합법의
668,1,4,disease,병
669,1,4,sickness,병
670,1,4,ignore,무시하다
671,1,4,disregard,무시하다
672,1,4,share,몫
673,1,4,portion,"일부, 몫"
674,1,4,block,막다
675,1,4,power,힘
676,1,4,might,힘
677,1,4,declare,공표하다
678,1,4,announce,발표하다
679,1,4,pack,"꾸리다, 짐"
680,1,4,bundle,"묶음, 꾸리다"
681,1,4,contend,"다투다, 경쟁하다"
682,1,4,compete,경쟁하다
683,1,4,face,"얼굴, 직면하다"
684,1,4,confront,직면하다
685,1,5,decent,"제대로 된, 알맞은"
686,1,5,properly,"적절히, 알맞게"
687,1,5,bank,"은행, 예금하다"
688,1,5,deposit,예금하다
689,1,5,want,원하다
690,1,5,desire,바라다
691,1,5,industrious,근면한
692,1,5,diligent,근면한
693,1,5,distribute,분배하다
694,1,5,dispense,분배하다
695,1,5,sell,팔다
696,1,5,dispose of,팔아버리다
697,1,5,disagree,반대하다
698,1,5,dissent,의견이 다르다
699,1,5,meet,만나다
700,1,5,encounter,마주치다
701,1,5,adept,숙련된
702,1,5,famine,기근
703,1,5,disappoint,실망시키다
704,1,5,let down,실망시키다
705,1,5,serious,진지한
706,1,5,vacation,휴가
707,1,5,holiday,휴일
708,1,5,charge,"요금, 청구하다"
709,1,5,bill,"계산서, 청구하다"
710,1,5,data,"자료, 데이터"
711,1,5,information,정보
712,1,5,diary,"일기, 일지"
713,1,5,journal,"일지, 잡지"
714,1,5,issue,"논점, 문제"
715,1,5,matter,문제
716,1,5,lose,잃다
717,1,5,miss,놓치다
718,1,5,gesture,몸짓손짓
719,1,5,motion,움직임
720,1,5,royal,위엄 있는
721,1,5,noble,숭고한
722,1,5,enemy,적
723,1,5,opponent,반대자
724,1,5,fight,싸우다
725,1,5,oppose,반대하다
726,1,5,other,다른
727,1,5,opposite,정반대의
728,1,5,organize,조직하다
729,1,5,possibly,"아마, 어쩌면"
730,1,5,civil,"시민의, 예의 바른"
731,1,5,polite,공손한
732,1,5,status,"지위, 신분"
733,1,5,position,"위치, 지위"
734,1,5,possible,가능한
735,1,5,potential,잠재적인
736,1,5,principle,"원리, 원칙"
737,1,5,rule,규칙
738,1,5,likely,~할 것 같은
739,1,5,probably,"아마, 대개는"
740,1,5,advance,전진하다
741,1,5,progress,"진행, 전진하다"
742,1,5,print,"인쇄, 인쇄 출판하다"
743,1,5,publish,출판하다
744,1,5,record,"기록, 녹음하다"
745,1,5,register,"기록하다, 등록"
746,1,5,loosen,"풀다, 완화하다"
747,1,5,relax,누그러뜨리다
748,1,5,loose,풀려난
749,1,5,release,석방
750,1,5,liable,법적 책임이 있는
751,1,5,responsible,책임이 있는
752,1,5,steal,훔치다
753,1,5,rob,강탈하다
754,1,5,concise,간결한
755,1,5,summary,요약
756,1,5,custom,"관습, 풍습"
757,1,5,tradition,"전통, 관습"
758,1,5,vertical,수직의
759,1,5,offend,범하다
760,1,5,violate,위반하다
761,1,5,absolute,절대적인
762,1,5,aim,"겨누다, 목적"
763,1,5,amend,개정하다
764,1,5,examine,시험하다
765,1,5,analyze,분석하다
766,1,5,bother,귀찮게 굴다
767,1,5,comfort,위로하다
768,1,5,console,위로하다
769,1,5,look into,조사하다
770,1,5,investigate,조사하다
771,1,5,deceive,속이다
772,1,5,defy,도전하다
773,1,5,contribution,기부
774,1,5,donation,기부
775,1,5,effect,"결과, 영향"
776,1,5,exhaust,다 써 버리다
777,1,5,fasten,고정시키다
778,1,5,illustration,"삽화, 실례"
779,1,5,learn,"배우다, 습득하다"
780,1,5,multiply,"늘리다, 곱하다"
781,1,5,occupation,직업
782,1,5,occur,"일어나다, 발생하다"
783,1,5,potent,유력한
784,1,5,recall,"소환하다, 회상"
785,1,5,state,"상태, 국가, 말하다"
786,1,5,strength,힘
787,1,5,weird,기묘한
788,1,5,capable,유능한
789,1,5,affront,모욕하다
790,1,5,insult,모욕하다
791,1,5,clap,손뼉을 치다
792,1,5,applaud,박수 갈채하다
793,1,5,treaty,"조약, 협정"
794,1,5,pact,"조약, 협정"
795,1,5,obey,"따르다, 복종하다"
796,1,5,conform,"따르다, 순응하다"
797,1,5,inform,"알리다, 통지하다"
798,1,5,notify,통지하다
799,1,5,alarm,"놀람, 경보"
800,1,5,set up,"배치, 셋업"
801,1,5,arrange,"배열하다, 정돈하다"
802,1,5,medium,중간의
803,1,5,intermediate,중간의
804,1,5,wild,야생의
805,1,5,savage,"잔인한, 야생의"
806,1,5,stick,달라붙다
807,1,5,adhere,들러붙다
808,1,5,crack,"깨지다, 금이 가다"
809,1,5,mortal,치명적인
810,1,5,fatal,치명적인
811,1,5,die,죽다
812,1,5,perish,죽다
813,1,5,point,"점, 가리키다"
814,1,5,indicate,~을 가리키다
815,1,5,poor,가난한
816,1,5,poverty,가난
817,1,5,distinguish,구별하다
818,1,5,discern,식별하다
819,1,5,fair,공정한
820,1,5,impartial,공정한
821,1,5,oblige,강요하다
822,1,5,compel,강요하다
823,1,5,appointment,약속
824,1,5,engagement,약속
825,1,5,ambitious,야심적인
826,1,5,challenging,도전적인
827,1,5,enlarge,확대하다
828,1,5,magnify,확대하다
829,1,5,shout,외침
830,1,5,outlook,"(장소의) 전망, 예상"
831,1,5,prospect,"(미래의) 전망, 예상"
832,1,5,flat,편평한
833,1,5,level,"평평한, 수평의"
834,1,5,urge,"재촉하다, 충동"
835,1,5,impulse,"충동, 자극"
836,1,5,smell,냄새
837,1,5,scent,냄새
838,1,5,process,"경과, 과정"
839,1,5,procedure,"절차, 순서, 진행"
840,1,5,sponsor,후원자
841,1,5,supporter,후원자
842,1,5,about,대략
843,1,5,liken,비유하다
